startup_name,industry,business_model,current_stage,country,funding_target,team_size,founder_experience,problem_statement,target_customers,key_competitors,gtm_strategy
Cellbyte,Software,SaaS,MVP,DE,830087122,182,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SID,Software,SaaS,Seed,Unknown,29723216,12,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Snaptalent,Software,SaaS,Series B,US,343696849,133,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Svix,Software,SaaS,Series A,US,150498274,27,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Draftwise,Software,SaaS,Growth,US,866910278,136,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Demospace,Software,SaaS,Seed,Unknown,11238624,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Ubicloud,Software,SaaS,Series B,Unknown,808105265,65,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Dashdive,Software,SaaS,Seed,US,14797982,12,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Payhippo,Software,SaaS,Growth,NG,323403583,116,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
CB Therapeutics,Software,SaaS,Idea,US,1542849,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Therify,Software,SaaS,Prototype,Unknown,519165869,105,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Chestnut,Software,SaaS,Seed,US,10252563,6,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SolarMente,Software,SaaS,Prototype,ES,592515021,131,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lariat Data,Software,SaaS,Prototype,US,995572367,64,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Sway Finance,Software,SaaS,Prototype,US,983710016,162,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Citus Data,Software,SaaS,Prototype,US,942456273,163,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Scentbird,Software,SaaS,MVP,US,863987732,132,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Thinkature,Software,SaaS,MVP,Unknown,897072602,200,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SmartHelio,Ecommerce,Marketplace,MVP,CH,954899339,110,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Fazeshift,Advertising,Freemium,Series B,US,414582113,195,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
OrderAhead,Enterprise,B2B,Series B,US,929635807,67,Experienced,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Tilt,Software,SaaS,MVP,IN,356176676,118,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
cocreate,Software,SaaS,Prototype,US,735479061,164,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Darsel,Enterprise,B2B,Growth,Unknown,847867516,133,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Hyperbound,Advertising,Freemium,Series A,US,43672282,33,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Lightwell,Software,SaaS,Growth,US,258250818,70,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Infisical,Software,SaaS,Series A,US,191730945,34,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
WareIQ,Software,SaaS,Prototype,IN,354570279,158,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SmartHelio,Software,SaaS,MVP,CH,720901000,118,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Pillar,Software,SaaS,Prototype,US,869714526,60,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Mito,Software,SaaS,Series A,US,157535092,40,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
500Friends,Software,SaaS,Growth,US,207005882,164,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
LlamaFarm,Software,SaaS,MVP,US,489106928,125,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Reflex,Software,SaaS,Growth,US,771534006,177,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Opez,Enterprise,B2B,Growth,US,625706493,78,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Powerhouse AI,Software,SaaS,Series B,SG,372230664,195,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Scape,Software,SaaS,Idea,US,1944388,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Datarank,Software,SaaS,Idea,US,2190721,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lizza,Software,SaaS,Growth,MX,201021334,111,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
PayMongo,Software,SaaS,Growth,PH,285627023,80,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Bicycle AI,Biotech,B2B,Idea,IN,4680798,2,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Cherry Recommends,Software,SaaS,Idea,SG,1223960,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
FutureAdvisor,Enterprise,B2B,Growth,US,412419740,70,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Sandbox Banking,Software,SaaS,Idea,US,1807158,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
CapWay,Software,SaaS,Seed,US,19395382,8,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Couple,Software,SaaS,Series A,US,32072224,21,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
YourQuote,Software,SaaS,MVP,IN,529451538,132,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Tab,Advertising,Freemium,Growth,GB,867458321,68,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Hepatx,Software,SaaS,Idea,US,3742547,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
DAGWorks Inc.,Advertising,Freemium,Seed,US,15287381,14,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Transcriptic,Software,SaaS,Prototype,US,561380755,182,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Naytev,Software,SaaS,Seed,US,15740276,8,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Tailornova/Couturme,Software,SaaS,Growth,US,565406152,73,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
The Human Utility,Advertising,Freemium,Idea,US,1150038,3,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Lingo.dev,Software,SaaS,MVP,US,826895393,178,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
PullRequest,Software,SaaS,Series B,US,361566078,132,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Jemi,Software,SaaS,Growth,US,446323443,98,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Handl,Software,SaaS,Seed,US,15219708,15,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
GovEagle,Games_Video,B2C,Seed,US,25222369,12,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Terra,Software,SaaS,Series A,US,93376463,38,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Stownest,Software,SaaS,Growth,IN,864611548,96,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Dataland,Software,SaaS,MVP,US,294917206,160,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
JustSpotted,Software,SaaS,MVP,DK,764064306,198,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Runa,Software,SaaS,Series A,MX,174403968,57,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Mattermark,Software,SaaS,Series B,US,245974457,98,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Rulebase,Software,SaaS,Series B,Unknown,785634827,161,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Marathon Education,Software,SaaS,Series A,VN,196032300,29,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Chaos Genius,Software,SaaS,Idea,US,2250559,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
AppX,Ecommerce,Marketplace,Growth,IN,441676911,144,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Roe AI,Software,SaaS,Series A,US,70688709,33,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cofactor Genomics,Software,SaaS,Growth,US,656058039,181,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Dataform,Advertising,Freemium,Growth,GB,505976886,178,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Benepass,Software,SaaS,Prototype,US,238221909,157,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Float,Software,SaaS,Idea,US,4479474,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
DoorDash,Finance,B2B,Growth,US,634686880,161,Experienced,Financial services remain inaccessible and expensive.,SMEs,"Razorpay, CRED, Groww, PhonePe",Enterprise Sales
Dream3D,Software,SaaS,Idea,US,4881770,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
"80,000 Hours",Software,SaaS,Growth,GB,600040053,67,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SpruceID,Software,SaaS,Prototype,US,270405960,154,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Lowkey,Software,SaaS,Prototype,US,250118695,167,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Versori,Software,SaaS,Prototype,GB,629134597,83,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
trebu,Software,SaaS,Prototype,MX,252075185,186,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Airhart Aeronautics,Software,SaaS,Series A,US,176617273,46,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Asher Bio,Software,SaaS,Prototype,US,871289639,147,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Serra,Software,SaaS,MVP,US,406083886,130,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Fobo,Software,SaaS,MVP,US,640561994,63,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Prime Lightworks,Software,SaaS,Growth,US,821255924,114,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Zaam,Software,SaaS,Seed,US,29535771,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Vendah,Software,SaaS,Series A,BR,32365674,34,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Flower,Software,SaaS,Series B,Unknown,980268830,153,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Federacy,Software,SaaS,Seed,US,24494478,14,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
UNISON,Software,SaaS,Seed,US,12683667,10,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Sublingual,Software,SaaS,Prototype,US,235128936,194,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Billforward,Software,SaaS,Series A,US,80196218,39,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Keyri,Software,SaaS,Seed,US,14626825,10,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Duranium,Enterprise,B2B,Series A,US,170722509,23,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Recurse Center,Software,SaaS,Prototype,US,453037027,74,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Bear,Biotech,B2B,Series A,US,79556611,45,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Version Story,Software,SaaS,Series B,US,589108480,60,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Talentropy.ai,Ecommerce,Marketplace,Growth,CO,865228239,144,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Feather,Software,SaaS,Idea,US,2250311,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Choppy!,Software,SaaS,Growth,US,440956810,126,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Santé,Ecommerce,Marketplace,Growth,US,749692591,122,Intermediate,Online sellers struggle with customer acquisition.,Online Customers,"Flipkart, Amazon, Meesho",Digital Marketing
Oncobox,Enterprise,B2B,Seed,US,14152797,15,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
CoinTent,Software,SaaS,Seed,US,25704741,12,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Noble,Software,SaaS,Series A,IL,113395152,51,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Codingal,Biotech,B2B,MVP,IN,575011480,90,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
MangoDesk,Software,SaaS,Series B,Unknown,350409298,64,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Pave,Advertising,Freemium,Idea,CA,3941198,5,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
PromptArmor,Software,SaaS,Series B,Unknown,303140996,115,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Miracle,Software,SaaS,MVP,US,250602569,61,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cairns Health,Software,SaaS,Growth,US,835876491,182,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Unlayer,Games_Video,B2C,Series B,US,647104495,82,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Hypnos,Software,SaaS,Series A,US,120639671,44,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Dropbox,Software,SaaS,Prototype,US,885988868,136,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Odapt,Software,SaaS,Idea,Unknown,2574437,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Hush,Software,SaaS,Growth,US,593097456,107,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Headstart,Software,SaaS,Seed,GB,8700496,14,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Cashfree Payments,Biotech,B2B,Prototype,IN,325563730,171,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
Hyper,Advertising,Freemium,Seed,US,5937354,15,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
Massdriver,Software,SaaS,Growth,US,933674060,109,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Joon Health,Software,SaaS,Prototype,US,493704542,168,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Piggy,Software,SaaS,MVP,IN,331974417,98,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
OneKey,Games_Video,B2C,MVP,FR,644939285,121,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
tEQuitable,Software,SaaS,Growth,US,639967579,86,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
SparkGift,Software,SaaS,Seed,US,20379006,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Whaly,Software,SaaS,Growth,FR,646178021,72,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Chaser,Games_Video,B2C,Idea,US,4439738,2,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Eventual,Software,SaaS,Series B,US,241315551,92,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Vanta,Software,SaaS,Prototype,US,964687981,116,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Dill,Software,SaaS,Series B,Unknown,660490885,112,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
dScribe AI,Software,SaaS,Prototype,US,605912144,62,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Draftwise,Software,SaaS,Series B,US,462398148,111,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Convictional,Software,SaaS,Growth,CA,457655231,192,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
OneGraph,Software,SaaS,Series B,US,616213358,196,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Medinas Health,Software,SaaS,Seed,US,19105258,9,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Pyrls,Software,SaaS,Idea,US,3097645,5,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Mailwarm,Software,SaaS,Growth,FR,370914260,110,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Spoil,Software,SaaS,Series A,US,76880121,56,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Recall.ai,Software,SaaS,Prototype,US,727251355,140,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Bild AI,Software,SaaS,MVP,Unknown,664870971,180,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Revi,Software,SaaS,Prototype,Unknown,289843348,131,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Laylo,Finance,B2B,Prototype,US,505736630,111,Intermediate,Financial services remain inaccessible and expensive.,SMEs,"Razorpay, CRED, Groww, PhonePe",Enterprise Sales
Blitz,Biotech,B2B,Series A,US,138977115,22,Intermediate,Drug discovery is slow and expensive.,Healthcare Companies,"Moderna, Biocon",Clinical Partnerships
lvl5,Enterprise,B2B,MVP,Unknown,875920610,87,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Shiboleth,Software,SaaS,Growth,Unknown,731029736,137,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Carrot Fertility,Software,SaaS,Prototype,US,941443382,84,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Scout,Advertising,Freemium,MVP,US,904592416,188,Intermediate,Brands struggle to reach the right audience.,Marketing Teams,"Google Ads, Meta Ads",Inside Sales
BuildScience,Software,SaaS,Series A,US,54701790,32,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Hellobill,Software,SaaS,Growth,Unknown,529276039,175,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
V-Flow Medical,Games_Video,B2C,Seed,US,23178823,14,Experienced,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Hemut,Software,SaaS,Idea,US,1888525,3,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
C16 Biosciences,Software,SaaS,Series B,US,616523553,104,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Slapdash,Software,SaaS,Idea,US,3475515,4,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Slidely AI,Software,SaaS,Prototype,Unknown,917427114,111,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Powerdocs,Software,SaaS,Series A,DE,73525949,32,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
